RECORD_NBR,PAY_YEAR,LAST_NAME,FIRST_NAME,DEPARTMENT_NO,DEPARTMENT_TITLE,JOB_CLASS_PGRADE,JOB_TITLE,EMPLOYMENT_TYPE,JOB_STATUS,MOU,MOU_TITLE,OVERTIME_PAY,ALL_OTHER_PAY,TOTAL_PAY,CITY_RETIREMENT_CONTRIBUTIONS,BENEFIT_PAY,GENDER,ETHNICITY,REGULAR_PAY
40120.39444376208,2017.0,15608.680929130558,7562.152134544252,55.22478228070716,31.42130844483914,1003.9925533693662,995.6670195825177,2.7755575615628914e-17,1.0,45.2450000685711,22.264069623059875,6319.868982676973,1608.781570536284,63356.213526357846,18802.435488361894,7656.994532911132,1.0,5.0,54514.78869704751
42167.46082020107,2017.0,16382.67057347512,7949.037282532088,57.74768886897403,32.80949085595168,1057.7709189031302,1039.7211911480986,2.7755575615628914e-17,1.0,47.49588711559206,23.628269618081433,7928.742912532044,2210.9036279243633,68354.4395068554,20481.61987040209,8250.47529068121,1.0,6.0,58486.04764221655
42049.89065465777,2017.0,16341.580163685654,7928.108634828122,57.62127030924262,32.736197675672464,1054.6515874051254,1037.3931887444223,2.7755575615628914e-17,1.0,47.37083358939856,23.55508777315665,7814.322987312094,2179.0269802889734,68096.13053875027,20402.255513625583,8224.916005484347,1.0,5.0,58309.95229618238
39035.60940024081,2017.0,15200.31003337661,7355.615645246833,53.87553831262116,30.67831491577193,975.3045893149999,972.1109194480412,2.7755575615628914e-17,0.0,44.06618720657671,21.534325139159563,5447.244217985491,1288.9859717551788,60683.63541725362,17887.807146155443,7341.770136593102,1.0,5.0,52376.99579855781
40689.68666287173,2017.0,15833.071201334642,7670.988089881966,55.929787196352756,31.81109260984931,1018.9811308505199,1008.0140560970752,2.7755575615628914e-17,1.0,45.89070701346064,22.647777673757613,6775.1690194838075,1777.1443451485297,64732.84097516729,19272.548883310094,7826.507531926339,1.0,5.0,55632.9860052147
40739.65482388241,2017.0,15842.309714057397,7679.84881568509,55.98769738980846,31.843447259664405,1020.2950360766595,1009.0626844624278,2.7755575615628914e-17,1.0,45.927058567474965,22.678806355432986,6803.228269384777,1792.2358750605902,64838.558891447814,19318.896152154823,7839.679951347883,1.0,5.0,55733.52798863956
42483.344540236874,2017.0,16496.364100078772,8010.174888330074,58.148720711301216,33.03318510318944,1065.9331473160037,1046.6590351412217,2.7755575615628914e-17,1.0,47.85773673781153,23.843045733121844,8193.034874495697,2303.415340150732,69166.65422439654,20756.895228936395,8345.34411209427,1.0,6.0,59153.03312595632
41769.87211424339,2017.0,16234.664265763964,7876.152937012404,57.270838747311934,32.54878310839044,1047.8587115893529,1031.3207492317197,2.7755575615628914e-17,1.0,47.06761951183794,23.36955784611878,7608.996929480815,2096.94973117029,67444.0657273903,20174.859673917046,8144.028551173606,1.0,5.0,57763.62926660666
41761.22719044892,2017.0,16228.896114166653,7876.217782227148,57.2735688715367,32.550570731603045,1047.3593310227961,1031.4919135768619,2.7755575615628914e-17,1.0,47.08466644491642,23.375041915488477,7628.310073651347,2095.3925258571653,67460.05780326723,20179.466610578453,8146.000359580047,1.0,5.0,57761.40554061489
41354.04604188934,2017.0,16075.59745138452,7795.004964941495,56.73809528459812,32.25807489052269,1036.0003013835699,1022.2016772314546,2.7755575615628914e-17,1.0,46.604320645867986,23.08925863443787,7271.771252810312,1969.9357694658975,66388.11167674437,19811.51048380329,8016.558239032794,1.0,5.0,56944.24520960076
