RECORD_NBR,PAY_YEAR,LAST_NAME,FIRST_NAME,DEPARTMENT_NO,DEPARTMENT_TITLE,JOB_CLASS_PGRADE,JOB_TITLE,EMPLOYMENT_TYPE,JOB_STATUS,MOU,MOU_TITLE,REGULAR_PAY,OVERTIME_PAY,ALL_OTHER_PAY,TOTAL_PAY,CITY_RETIREMENT_CONTRIBUTIONS,BENEFIT_PAY,GENDER,ETHNICITY
49692,2017,7303,7805,88,48,1112,1395,1,0,95,37,18061.519808319455,-5.834537839890171,148.86342586031856,9986.208015875252,12008.383100825586,6296.41327675937,1,7
22088,2017,14946,8230,12,6,131,501,0,1,13,0,36139.16537774923,-6.705370667483052,-144.42154376359989,41412.5259478399,11527.291024723732,2462.0155486012645,0,5
71583,2017,11627,9668,12,6,627,1767,0,1,13,0,53342.145784941036,-6.80536343455238,541.0551414587505,54494.335623930994,17156.825922650478,7396.780901846732,0,2
66731,2017,1750,7002,88,48,1349,715,0,0,23,43,55002.51281349146,424.29354547243133,61.366686610341375,55960.64149054785,16463.908043725052,7407.420075176788,1,7
52237,2017,8989,7223,70,40,928,1253,0,0,45,32,96672.78177899338,10543.0203214357,1161.5483105528428,127053.16952203897,42545.32960696803,16782.72623725892,1,7
72311,2017,4513,7029,70,40,928,1253,0,0,45,32,106822.47196897698,5517.0368706094505,2305.3240904949853,126756.89592340865,47575.58787778822,16955.590427220228,1,7
74246,2017,5664,10621,70,40,1141,1454,0,1,31,39,11464.786210837701,19.668181603379615,182.0082254175735,13709.274461334084,-57.82630537611555,972.7374769191606,1,7
545,2017,5011,7286,70,40,928,1253,0,0,45,32,97867.0442946759,12073.324929817449,754.4617285395623,110929.90564655629,44772.01601463689,16868.067042267572,1,7
72127,2017,4718,7113,94,49,792,1561,0,1,33,54,98600.36501475306,176.62188283087937,657.583680916035,95033.51509843183,27822.788958126224,14065.511152838668,1,5
64118,2017,12450,9008,70,40,938,1262,0,0,45,32,94953.61512071542,35106.45797164949,3468.7495178223367,129039.29558588169,44233.25498697912,17396.859283918213,1,7
832,2017,3523,8370,70,40,1529,714,0,0,23,43,85244.04504862345,-3.515353087368478,750.1726092566207,71071.95716670997,19911.23323425759,16865.249563750625,1,5
70923,2017,13927,9238,70,40,959,1245,0,1,47,31,22962.68276190052,-0.10295007849646609,1413.2523196195239,21317.389932865033,8651.959294948494,3998.7819380538826,1,5
72567,2017,12407,9157,22,20,551,1458,0,1,13,0,88393.3536975288,520.0779122754222,6.183616607131157,86938.2907557244,20956.607236740638,6222.95531349336,0,7
69588,2017,6959,6337,88,48,1193,833,1,1,57,4,16465.9426018466,742.8845393447326,-68.80819997546683,3802.9633000590693,-49.071656979696535,1850.4491933893416,1,7
77199,2017,12621,7959,70,40,928,1253,0,1,45,32,72541.97741284779,9383.117363618081,1979.8447968220535,72706.63952379476,30352.10083767858,10382.67481422525,1,7
27284,2017,6060,7428,88,48,1118,1398,0,1,77,11,6788.280813958112,4.613935338623612,8.355350263104256,6755.525281379208,241.01122553023805,2950.929652289281,1,7
69390,2017,6549,6952,70,40,928,1253,0,1,45,32,30169.441515826693,6695.508873693167,88.1963233267058,59126.68883542155,17933.929847121966,6537.676821487575,1,7
39209,2017,2950,8039,88,48,1226,833,1,0,77,11,35607.264069173456,-1.835035281790823,697.9241554338175,36572.11033694439,14223.826879109703,6813.933117291049,1,7
73053,2017,3574,8127,70,40,928,1253,0,1,45,32,-293.1696421147258,9.890669846723174,2.3440571349716635,-241.7785661047974,-182.98891374064235,81.98516018047965,1,7
82296,2017,5743,8206,88,48,929,1254,0,0,43,14,88828.45390638558,3394.1946887133918,3071.1317620167993,98784.7893486293,27162.977066598825,11006.904636367766,1,5
67808,2017,7218,6534,70,40,928,1253,0,1,45,32,110206.04770590768,41481.42996122169,2172.4840276962063,159506.46128067523,43835.83911314401,16665.210609593218,1,7
66802,2017,7515,7803,70,40,928,1253,0,0,45,32,114960.60913589293,30799.440993585416,3921.0940522383735,132843.7164419682,43693.89838702582,16987.975399657054,1,7
60532,2017,17280,6988,70,40,928,1253,0,1,45,32,8439.313947222354,285.2320355347998,26.233371222747188,49652.50291738582,306.11002311305674,1127.2554008993375,0,7
82493,2017,5175,10386,42,27,1193,833,0,1,57,4,59534.24276839444,-0.25303983426958965,-55.86497969773616,51484.87685492297,15487.289990564841,11452.570394741959,0,7
20125,2017,5283,7526,70,40,937,1261,0,1,17,38,29001.94937040854,2056.8146198992204,-22.21344469599037,26006.103660356817,8934.277137763558,1710.081645859468,0,7
71713,2017,6271,10190,88,48,1193,833,0,1,45,32,12089.752038787343,1065.25200344645,47.82477359322326,10510.851613548202,15281.409659472383,2334.962284741708,1,7
68754,2017,11652,6357,88,48,41,830,1,1,1,26,9506.736347160353,76.40690820183778,-14.608270147501337,15224.698622079104,183.12069654163795,110.98883751564902,0,7
73067,2017,7578,9228,26,16,463,1769,0,1,1,26,106665.83948354045,558.5284893516204,-34.18201225458594,142857.38321067064,44808.890099091055,15029.648900265653,0,2
54586,2017,6269,9943,70,40,2474,1042,0,1,13,0,42017.241371710275,4.656505209688689,1193.462854377861,51107.48266180968,11616.823725628414,7260.6510329204775,1,2
23414,2017,24563,7714,88,48,1112,1395,1,1,57,4,163.90271189014243,0.4083409326836964,91.84329228815832,4637.7594643806915,507.64556670026917,-35.21744816096677,1,9
47649,2017,28715,7066,70,40,940,1251,0,0,45,32,86336.57851280698,186.36145868931905,16.369064556533647,99316.30660055288,23262.284985097824,11816.78279194026,0,5
75433,2017,7382,8633,70,40,1331,55,0,0,45,32,87404.98715559472,5626.511819719777,4002.490387083498,113550.89850063712,26773.39929854713,15713.011959421377,1,7
62052,2017,5766,7372,86,47,1874,1713,0,0,1,26,92946.84051578102,129.9993354235696,3336.9446383676445,87406.99115650862,28056.18249100549,15425.110176919607,1,5
69142,2017,3294,10437,88,48,419,14,1,1,57,4,20492.07806908163,10.646978360112005,29.135339932019036,16449.70879388394,111.07160747285434,18.778464574413604,0,7
68950,2017,7890,10159,70,40,357,1016,1,1,57,4,7885.5164971356435,172.5769142197604,2.2741413358771467,15094.261097162915,69.57456329077317,822.046981556161,0,7
47325,2017,4815,6132,70,40,928,1253,0,0,45,32,110834.09600919142,12655.733724807042,1701.195458923044,124297.53513108287,51133.34413320073,16801.219779711246,1,7
1593,2017,4352,7201,4,1,1369,257,0,1,21,49,32561.90972873425,3896.3257758682016,1649.7850615987168,30903.18848143804,18525.893157977956,6963.184792296283,1,7
69887,2017,12691,6992,70,40,928,1253,0,0,45,32,70401.65596000334,3722.8334028788267,1065.2033092656252,90799.33376161125,29798.16656855255,11192.46661077935,1,7
31595,2017,9362,10073,40,26,1369,257,1,1,21,7,9087.16317823013,913.0535483223546,1412.815094735487,34150.81037444834,-186.00272715908835,50.18067537238041,1,7
79283,2017,10536,7060,8,3,554,1302,0,1,13,0,104039.7577308235,11293.894375782025,1158.9349361485947,118178.33140173847,31818.26608680738,10197.980342103592,1,5
76398,2017,1876,10379,70,40,357,1016,0,1,45,32,42564.04421389753,185.08109061993153,140.27494148656638,47856.74983887188,17069.920134702224,5044.292872343259,0,7
72805,2017,8714,7185,14,7,210,620,1,1,1,26,1145.8677775899666,-5.375376566035236,-72.07777802881884,-1074.5310302369962,-164.99974552590896,64.57081723336294,0,7
