RECORD_NBR,PAY_YEAR,LAST_NAME,FIRST_NAME,DEPARTMENT_NO,DEPARTMENT_TITLE,JOB_CLASS_PGRADE,JOB_TITLE,EMPLOYMENT_TYPE,JOB_STATUS,MOU,MOU_TITLE,REGULAR_PAY,OVERTIME_PAY,ALL_OTHER_PAY,TOTAL_PAY,CITY_RETIREMENT_CONTRIBUTIONS,BENEFIT_PAY,GENDER,ETHNICITY
70541,2017,1350,6852,88,48,1480,1402,1,1,57,4,-384.7501949367179,2.6939277717127865,-46.4003475247997,204.2907958776368,238.5273225147213,19.19042493387739,1,7
69244,2017,1957,6426,70,40,928,1253,0,0,45,32,124115.52035983725,10884.005455328295,4353.956973999169,138049.5043597735,48894.461504365674,16691.01210975707,1,5
74479,2017,4116,6879,82,45,1193,833,0,1,57,4,42707.81887375327,5049.899639022254,207.65444308634142,38337.984113398255,10787.807916954807,5060.683411733949,1,7
14550,2017,4941,9251,70,40,928,1253,0,0,45,32,109538.88031885837,15353.22344599184,1647.6418566578782,141646.05096451726,46377.580341463916,16031.86410845633,1,7
75150,2017,13058,7507,70,40,1324,1289,0,1,47,31,90940.32153868652,6573.120650974553,5736.790006024388,116101.14221041322,35268.327642555894,15799.726432493786,1,5
82300,2017,2690,10690,70,40,233,37,0,1,57,4,51073.84549537893,5.1394410187326685,-87.8955846424181,31226.072186042362,6293.85697269491,4505.6192593234455,0,7
24568,2017,8153,6637,88,48,1032,1277,1,1,95,37,2168.894108677073,6.092427865107133,-87.53030560886815,4196.068359878138,283.94564676952103,25.33502058558262,1,7
79446,2017,14125,6602,70,40,928,1253,0,0,45,32,114047.69079741545,22870.89373763296,2425.9368895534762,153042.87504076297,45159.44559449282,17770.070542366993,1,7
19383,2017,4288,7793,70,40,928,1253,0,0,45,32,69806.85785098624,17029.551984688653,2845.9744560584622,81114.18893184989,16903.144927767615,18614.483620139603,1,7
20896,2017,4483,10798,70,40,357,1016,0,0,57,4,51890.33609167808,918.8536243361027,-32.83596083851644,67639.0583728476,16096.60361572769,7420.582446706675,0,7
74963,2017,6886,10457,42,27,928,1253,0,0,45,32,116827.13725585042,5163.894594507166,3475.42842125887,101832.65618100992,59522.15930622242,17029.661459564726,1,5
54108,2017,3520,7566,70,40,357,1016,0,0,57,4,65849.0055583702,791.7694815574574,623.6562787539423,58338.44431925239,20557.636754080675,7021.670162240253,0,7
68506,2017,9074,7121,12,6,619,12,0,1,1,26,59829.90394369184,1033.940471933613,-108.51157503767465,64962.9504534835,15782.83554469405,6004.977710990549,0,5
24571,2017,2272,7357,70,40,357,1016,0,0,57,4,66894.77163542966,690.3861632166993,120.27982893873249,49306.904543762736,16580.752323141693,7454.226927655214,1,7
54227,2017,7214,11687,39,37,536,1,1,1,13,0,21007.858174998488,692.3389869658272,1168.2725653124808,31513.778651301287,15898.998639077057,-130.69566910272226,0,2
56721,2017,4384,7416,70,40,937,1261,0,1,45,32,54673.02283189616,81.1465871887722,671.9187211094811,61118.54692558092,12609.035733561775,6987.007980850045,1,5
76598,2017,6255,5972,88,48,563,18,1,1,13,0,829.0749494085262,-11.371282129914185,-4.822038936762546,1405.3105720767119,222.0440681812127,34.38589947772048,0,5
74417,2017,5738,7208,70,40,567,1045,0,1,13,0,48028.661028207214,-0.1273375029022361,754.2903135149576,54095.12334172649,13092.509462626516,1188.2296589921227,0,2
79605,2017,4925,7945,14,7,567,1045,1,1,13,0,4053.7457752727755,4.996217675155311,-55.860340666525786,672.5150808955013,189.0096084346116,48.79364600656619,1,2
82372,2017,6297,7684,40,26,567,1045,0,1,13,0,4931.479514714723,1.8267658762644068,38.5397602621229,6353.191682114277,3062.8199012505725,1008.071316697926,1,2
82730,2017,14208,8826,4,1,1354,68,0,1,19,47,4935.09911013079,-5.785638491182631,643.3521886689156,5264.47005240858,2650.8844530006754,1045.474416897412,1,7
18819,2017,3891,6957,42,27,2097,383,0,1,97,34,52547.17616169939,87.78319865492715,55.552077742823336,51483.22946858123,10410.849694308617,-20.453344243215366,1,7
58197,2017,7541,5616,42,27,928,1253,0,0,45,32,99603.58877883015,22211.725534249832,3443.5832350958726,106066.8324417561,25925.94408252094,16122.243701724592,1,7
69732,2017,6930,7329,44,31,302,1101,1,0,57,4,16672.33743053581,-7.36848260800144,675.5024606393472,47748.16490862084,36.8087269173066,7183.739063038496,1,7
65673,2017,1577,7203,70,40,357,1016,0,1,57,4,40012.5949207808,207.00246913829443,33.388745314375214,26564.018672707967,7209.246407160073,2025.427000071378,1,7
48753,2017,2176,5840,70,40,928,1253,0,0,45,32,61104.056721367684,6602.509285102313,4284.043477207638,58418.45537906913,18331.454804511548,14432.949218900769,1,7
54390,2017,7200,7032,70,40,938,1262,0,0,45,32,110336.59220191497,38172.29166683764,8134.539774342818,142651.7735734508,38197.78334360031,9700.880810504465,1,5
50617,2017,6904,7597,42,27,1848,241,0,1,97,34,105612.15886695015,3.9235216264514996,2231.3058240845603,109080.49148111907,27836.784277767998,18308.798984656813,1,5
82414,2017,12376,8247,70,40,540,1772,0,1,39,55,47293.92228251187,-5.989603623489451,-17.58690632381297,54920.3277570624,15698.738959800956,5841.192842912992,1,9
46886,2017,6731,9726,88,48,1112,1395,1,1,57,4,2466.42495518002,10.050368267679998,116.05344556166735,-693.0231686280026,321.59264916304556,-48.48442863132399,0,9
27291,2017,5813,6381,70,40,922,1265,0,0,23,43,82518.28335991956,1870.6856828335672,1065.497266374687,89814.67208056145,24835.91462318902,14191.822951234511,1,7
75754,2017,6126,6807,88,48,1112,1395,1,1,57,4,14104.196142016404,-3.8280765185102084,682.0218944899977,9677.430877837636,118.38018193172152,-104.28132313899184,0,7
82283,2017,7482,7050,70,40,1330,714,0,0,23,43,100140.42821496596,1112.8114004972726,1430.219432233178,76702.80475178343,27531.845280359932,17312.162526699663,1,7
76182,2017,12339,7094,82,45,2254,1088,0,0,97,34,97631.14642936845,-6.271746995519699,648.8995283538175,120843.0455404267,30616.42024096976,13554.643359103757,1,5
68638,2017,3830,6766,70,40,938,1262,0,0,45,32,105840.35261160416,7.980678845043169,6847.788117657313,104945.18170815759,44641.013867246154,16429.660507499677,1,5
64044,2017,6910,7586,70,40,1300,1453,0,1,19,47,41515.839367558874,1544.2035462347333,552.6381794026435,41211.80062633674,11630.189350368018,5037.578455872876,1,7
